"Kód obce" Obec "Voliči v seznamu" "Vydané obálky" "Platné hlasy" Strana/název Celkem
589535 Hrdibořice 178 109 109 "Komunistická str.Čech a Moravy" 22
589535 Hrdibořice 178 109 109 "Strana zelených" 1
589535 Hrdibořice 178 109 109 "ROZUMNÍ-stop migraci,diktát.EU" 0
589535 Hrdibořice 178 109 109 "Strana svobodných občanů" 3
589535 Hrdibořice 178 109 109 "Blok proti islam.-Obran.domova" 0
589535 Hrdibořice 178 109 109 "Občanská demokratická aliance" 0
589535 Hrdibořice 178 109 109 "Česká pirátská strana" 10
589543 Hrubčice 617 376 374 "Občanská demokratická strana" 35
589543 Hrubčice 617 376 374 "Řád národa - Vlastenecká unie" 0
589543 Hrubčice 617 376 374 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589543 Hrubčice 617 376 374 "Česká str.sociálně demokrat." 24
589543 Hrubčice 617 376 374 "Radostné Česko" 0
589543 Hrubčice 617 376 374 "STAROSTOVÉ A NEZÁVISLÍ" 14
589543 Hrubčice 617 376 374 "Komunistická str.Čech a Moravy" 44
589543 Hrubčice 617 376 374 "Strana zelených" 0
589543 Hrubčice 617 376 374 "ROZUMNÍ-stop migraci,diktát.EU" 4
589543 Hrubčice 617 376 374 "Strana svobodných občanů" 4
589543 Hrubčice 617 376 374 "Blok proti islam.-Obran.domova" 0
589543 Hrubčice 617 376 374 "Občanská demokratická aliance" 0
589543 Hrubčice 617 376 374 "Česká pirátská strana" 35
543543 Hruška 191 90 88 "Občanská demokratická strana" 3
543543 Hruška 191 90 88 "Řád národa - Vlastenecká unie" 0
